mcdonald's,49.2331055,-123.0657587,true
kent's kitchen,49.2331195,-123.0659733,false
papa dave's pizza indian cuisine,49.2256886,-123.0777235,false
mcdonald's,49.2182564,-123.0773813,true
kfc,49.2256116,-123.0777236,true
water street cafe,49.2842334,-123.1090325,false
minato japanese restaurant,49.2635812,-123.127202,false
mcdonald's,49.2634907,-123.11626,true
chef's choice chinese cuisine,49.263551,-123.1254837,false
cactus club cafe,49.2634241,-123.117312,true
royal seoul house,49.2636456,-123.1316944,false
menya raizo,49.2633439,-123.1130715,false
subway,49.2633536,-123.1137363,true
a&w,49.2634886,-123.1215189,false
the chicken,49.2218399,-123.0054728,false
tocador,49.2617901,-123.1007734,false
cafe barney,49.262522,-123.1007068,false
the wallflower,49.2635444,-123.1006949,false
g-be izakaya,49.2565248,-123.0062372,false
little caesars,49.2195297,-123.0408142,true
54th ave cafe,49.2193183,-123.0410871,false
le petit saigon,49.2812722,-123.0472413,false
panago,49.2725297,-123.056204,true
ocean park pizza & steakhouse,49.1624624,-122.655793,false
bull king bbq,49.1761814,-123.1306688,false
gingeri chinese cuisine,49.1761102,-123.1309092,false
happy lamb hot pot,49.175972,-123.1306582,false
toku japanese restaurant,49.1764107,-123.1323338,false
spicy 6,49.2848775,-123.1256192,false
daddy's delight kabobs,49.1842852,-123.0911234,false
cafe zen,49.2711045,-123.155196,false
federico's supper club,49.2691827,-123.0694303,false
mirai sushi,49.2813057,-123.1079703,false
the peri peri shack,49.2805253,-122.964841,false
namoo sushi,49.2762369,-122.8445501,false
romer's burger bar,49.2795471,-122.82931,false
spacca napoli,49.2764267,-122.849875,false
s&w pepper house,49.2289206,-123.0043591,false
church's chicken,49.2195995,-122.968017,true
cora,49.2186313,-122.955309,true
subway,49.2128537,-122.9368713,true
fung may,49.2289752,-123.004759,false
j & g fried chicken,49.2287084,-123.004951,false
bo wah,49.2287171,-123.004694,false
shanghai fortune cuisine,49.2286734,-123.0047024,false
yunnan cross bridge rice noodle,49.2286928,-123.0049605,false
crystal cafe,49.2287233,-123.005074,false
99 bbq,49.2287426,-123.0051256,false
best noodle,49.228991,-123.0048261,false
happy ice house,49.2287748,-123.004688,false
want want,49.2285999,-123.0047059,false
chao shou,49.2285573,-123.004716,false
delicious b.b.q.,49.2285195,-123.0047179,false
shanghai dimsum,49.2284351,-123.0049538,false
huaxi,49.2285576,-123.0049251,false
ipoh malaysian cuisine,49.2286059,-123.0049011,false
kingspark good food,49.2287064,-123.0050137,false
blazing flame,49.2294159,-123.0052821,false
kasuga sushi and grill,49.2287671,-123.0052002,false
old xian's food,49.2287982,-123.005247,false
hung's teppanyaki,49.2288285,-123.0052983,false
more chilli bowl,49.2289212,-123.00524,false
mad chicken,49.2289438,-123.0051888,false
ba shu,49.228968,-123.0051391,false
grand crystal seafood,49.2290042,-123.0054102,false
thanh thanh,49.2559475,-123.0877967,false
mirch masala,49.1758794,-122.8907911,false
mehfil india restaurant,49.1764733,-122.8896127,false
maharaja sweets and restaurant,49.1497112,-122.8645797,false
sabai thai restaurant,49.1911509,-122.8066783,false
fresgo inn,49.1863982,-122.8444496,false
nahm thai bistro,49.1876113,-122.8435939,false
sun sui wah seafood restaurant,49.1781171,-123.1356008,false
dairy queen,49.2567827,-123.184916,true
grillzilla bistro,49.2254234,-123.065527,false
quiznos,49.171823,-122.6674842,true
fork n chopstick,49.1723013,-122.6674779,false
panago,49.3264468,-123.120425,true
rio brazilian steakhouse,49.2879922,-123.1404642,false
subway,49.2908865,-123.1342622,true
booster juice,49.1659998,-122.6645407,true
kirin seafood restaurant,49.1697933,-123.1378771,false
liuyishou hotpot robson,49.2890564,-123.1320225,false
brambles bistro,49.0763979,-122.3935046,false
sushi oyama,49.225024,-122.990072,false
domino pizza,49.2112394,-122.9353594,false
legendary noodle,49.1176829,-122.6694722,false
fresh donair,49.1186802,-122.6700701,false
wild wing,49.1186793,-122.6698975,false
quick bite,49.213342,-122.9375173,false
potter's garden,49.2232465,-122.982719,false
fighter chicken,49.2344287,-123.036072,false
klasik inasal,49.2623272,-123.0898418,false
